MAV,RMS,ZC,WL,STD,label
340.62,344.1418602843891,2,736,49.10840661231028,rest
571.56,586.1411775331947,5,1963,129.92554175372908,rest
676.32,681.0348889741259,9,1869,79.99860998792416,rest
364.18,398.6043903421035,1,973,162.04440008837085,rest
47.94,51.2275316602313,3,219,18.055924235552162,rest
104.88,207.99307680785915,2,1412,179.61432459578498,rest
35.64,35.80335179840011,7,66,3.416196715647388,rest
30.24,30.341390871217488,5,57,2.4783865719455473,rest
35.5,35.80418969897238,7,74,4.657252408878008,rest
49.96,51.632547874378616,2,139,13.035275217654593,rest
30.16,30.455213018463684,4,43,4.230177301248731,rest
38.3,39.359115843728,1,78,9.069178573608527,rest
32.92,32.969076420185026,11,55,1.7982213434391219,rest
29.62,29.64557302532707,15,37,1.2310970717209915,rest
28.06,28.080954399735063,9,27,1.0846197490365,rest
27.44,27.481630228208807,9,30,1.512084653714864,rest
27.88,27.904838290160363,11,33,1.1771151175649728,rest
29.24,29.27387914165118,8,35,1.4079772725438433,rest
28.66,28.671588724728874,16,29,0.8151073548925932,rest
28.38,28.396830809088538,14,35,0.9775479527879949,rest
27.02,27.037381530022465,6,24,0.9693296652842107,rest
27.24,27.25288975503332,10,20,0.8380930735902786,rest
26.58,26.58984768666417,12,19,0.7236021006050217,rest
27.04,27.05697691908688,12,27,0.9583318840568752,rest
26.76,26.767144038914573,11,17,0.6183849933496123,rest
26.98,26.992962045688873,5,19,0.8364209466530593,rest
26.72,26.72676561052609,14,20,0.6013318551349164,rest
26.96,26.965904397961513,7,13,0.5642694391866353,rest
27.76,27.76688675382964,14,23,0.6183849933496123,rest
27.4,27.42043033943851,11,27,1.0583005244258363,rest
28.44,28.457687889215457,18,35,1.0031948963187562,rest
27.74,27.75572013117296,11,29,0.9340235543068492,rest
29.24,29.281393409467384,8,38,1.5564061166674974,rest
95.96,158.13589092928905,1,475,125.69263462908239,rest
200.46,204.33996182832178,5,417,39.63090208410603,rest
66.46,72.29232324389638,1,132,28.44729161097766,rest
35.22,35.36297498797294,7,64,3.176727876290319,rest
31.84,31.874754901018456,9,36,1.488086019019062,rest
29.36,29.37277651159318,15,31,0.8662563131083085,rest
28.88,28.888059817163214,17,24,0.6823488843692792,rest
28.88,28.89429009337312,9,16,0.9086253353280438,rest
28.54,28.547153973732655,19,25,0.6390618123468182,rest
29.52,29.531000660323045,12,21,0.8059776671843953,rest
28.16,28.171616922001476,17,35,0.8089499366462674,rest
27.08,27.10498109204284,9,27,1.163443165779919,rest
24.72,24.72893042571797,9,19,0.6645299090334461,rest
24.04,24.049116407884927,12,23,0.6621178142898738,rest
23.68,23.69050442687956,14,24,0.705407683541936,rest
24.74,24.751969618598032,12,21,0.7696752561957543,rest
25.06,25.073890802984685,10,26,0.8345058418010026,rest
24.7,24.711535767734063,16,32,0.7549834435270749,rest
25.06,25.077878698167435,14,26,0.9467840302835699,rest
27.52,27.88261106854952,4,47,4.482142344906061,rest
25.04,25.05114767830009,13,24,0.7472616676907761,rest
24.8,24.821764643151383,14,29,1.0392304845413265,rest
24.42,24.431536996267752,14,28,0.7507329751649384,rest
24.32,24.344198487524704,12,35,1.085172797300043,rest
24.76,24.783058729704855,10,27,1.068831137270991,rest
25.56,25.584370228715812,10,33,1.116422858956229,rest
26.42,26.43369062389889,7,20,0.8506468127254694,light_flex
25.6,25.606249237246754,11,15,0.565685424949238,light_flex
25.5,25.508037948850554,13,19,0.6403124237432849,light_flex
25.12,25.12767398706056,6,14,0.6209669878504009,light_flex
25.76,25.769749707748424,11,16,0.7088018058667741,light_flex
25.86,25.869286808878208,17,25,0.6931089380465383,light_flex
25.42,25.425577672886806,16,18,0.532541078227774,light_flex
25.16,25.172206895701457,7,23,0.783836717690617,light_flex
25.5,25.50725387022288,11,15,0.6082762530298219,light_flex
24.86,24.864030244511852,6,10,0.4476605857119878,light_flex
25.6,25.646832163056708,5,22,1.5491933384829668,light_flex
52.18,53.176122461119704,6,178,10.244393588690352,light_flex
58.9,59.84630314397039,8,204,10.600471687618434,light_flex
55.7,57.99362033879244,11,494,16.148374531202823,light_flex
58.14,59.11192773036589,11,247,10.675223651052937,light_flex
46.12,49.91472728564186,6,416,19.089934520579163,light_flex
41.28,41.507589667433116,8,75,4.340691189200172,light_flex
45.96,50.59802367681963,7,427,21.162192703025834,light_flex
39.2,39.40659843224228,9,70,4.029888335921977,light_flex
36.92,37.36790066353741,9,66,5.768327313875314,light_flex
34.98,35.250248226076366,2,41,4.356558274601638,light_flex
35.64,35.88593039061409,3,58,4.194091081509795,light_flex
32.14,32.23817612707022,3,39,2.514040572464971,light_flex
39.44,39.773860763069,7,83,5.142606343091021,light_flex
99.52,106.24142318323865,1,280,37.18883703478774,light_flex
127.46,128.64843566868583,7,339,17.446157169990187,light_flex
119.52,122.10814878622966,9,395,25.00739090748973,light_flex
104.08,104.64951027119048,6,254,10.902917040865715,light_flex
97.46,99.02171479024184,8,362,17.517088799226883,light_flex
97.26,98.39197121716792,13,326,14.881948797116593,light_flex
99.84,100.79563482611735,10,267,13.846819129316307,light_flex
104.76,105.94413622282264,5,286,15.79564496942116,light_flex
96.52,97.48374223428233,12,334,13.673682751914349,light_flex
111.84,113.00548659246594,10,358,16.188094390631655,light_flex
103.0,104.05959830789277,12,299,14.812157169028419,light_flex
104.42,107.18255455063571,5,332,24.177750102108345,light_flex
97.46,98.47588537301911,7,265,14.108451367885847,light_flex
96.64,98.3947153052439,8,337,18.499470262685904,light_flex
102.7,104.32363107177588,4,257,18.33384847761102,light_flex
141.76,143.54191025620358,5,430,22.54733687156867,light_flex
133.9,134.8797241990063,7,399,16.22744588652201,light_flex
115.46,118.4897463918292,7,468,26.623455823765628,light_flex
118.3,119.93439873530863,6,315,19.732460566285187,light_flex
101.72,102.74356427533552,6,313,14.466568356040765,light_flex
121.46,122.95698434818577,10,373,19.12820953461144,light_flex
97.14,97.43951970324976,9,239,7.634160071677827,light_flex
98.5,100.53964392218623,7,349,20.148697228356976,light_flex
104.42,105.53662871249962,10,332,15.311551195094506,light_flex
93.88,95.88201082580612,8,281,19.4911672303123,light_flex
97.78,99.69463375728907,6,280,19.444577650337383,light_flex
109.52,110.80108302719789,11,367,16.800285711856212,light_flex
111.28,112.20053475808393,9,296,14.34299829184958,light_flex
111.1,112.6015097589726,5,292,18.3273020382161,light_flex
85.56,86.11341358928934,11,232,9.747122652352335,light_flex
115.84,117.30711828358925,7,398,18.494712757974916,light_flex
118.9,120.50850592385585,5,315,19.623710148695125,light_flex
131.4,133.06148954524747,5,382,20.961870145576228,light_flex
116.74,118.54307234081627,5,349,20.596902679772022,light_flex
102.2,103.26683882060108,11,302,14.805404418657396,light_flex
106.4,107.83450282724912,11,364,17.530544771911682,light_flex
80.38,82.89282236719896,7,295,20.255261044972983,light_flex
48.26,49.2241810495614,7,144,9.694967766836566,light_flex
35.18,35.59241492228365,5,67,5.402554951131918,light_flex
25.78,25.853819833827263,5,39,1.9523319389898839,light_flex
24.24,24.261079942986875,11,28,1.0111379727811631,light_flex
25.62,25.678395588509808,10,35,1.730780170905595,light_flex
22.98,23.000434778499297,4,19,0.9693296652842107,light_flex
22.9,22.908950216018194,16,27,0.6403124237432849,light_flex
23.18,23.20215507232033,5,23,1.0137060717979351,light_flex
23.62,23.63091195870358,16,26,0.7180529228406497,light_flex
23.38,23.38845869226957,13,21,0.6289674077406555,light_flex
22.98,22.992607507631664,18,28,0.7613146524269712,light_flex
23.7,23.712022267196023,8,22,0.7549834435270749,light_flex
23.1,23.111469014322736,14,24,0.7280109889280518,light_flex
24.88,24.9367199126108,5,30,1.6809521111560555,light_flex
23.42,23.431175813432837,11,19,0.7236021006050217,light_flex
23.06,23.070760715676457,13,23,0.7045565981523415,light_flex
23.62,23.636835659622463,12,24,0.8919641248391103,light_flex
23.1,23.112334369336214,14,30,0.7549834435270749,light_flex
23.52,23.532955615476777,12,22,0.7807688518377254,light_flex
23.52,23.534655298091792,8,18,0.8304215796810679,light_flex
23.42,23.43885662740399,14,22,0.94,light_flex
23.44,23.45207879911715,11,18,0.7525955088890712,light_flex
24.12,24.13296500639737,12,23,0.7909487973314075,light_flex
26.2,26.75892374517331,3,50,5.440588203494177,light_flex
33.46,33.96262651798297,6,61,5.821374408161702,light_flex
48.04,48.3470785053244,8,102,5.440441158582638,light_flex
40.7,41.24730294213187,5,99,6.697014260101288,light_flex
49.5,50.19741029176705,6,198,8.338465086573187,light_flex
49.14,49.43864884885104,7,96,5.425900846864048,light_flex
51.26,51.782815682424996,9,129,7.339782013111834,light_flex
45.88,46.381461813961835,5,112,6.8018820924799925,light_flex
42.82,43.005348504575565,10,89,3.9884332763630383,light_flex
51.12,51.60542607129603,4,113,7.061557901766436,light_flex
37.98,38.31474911832257,9,130,5.0536719323675925,light_flex
42.8,43.08224692376199,6,107,4.923413450036469,light_flex
40.74,41.12201356937668,7,105,5.592173101755704,light_flex
51.28,53.8230433922126,1,130,16.348749187629004,light_flex
55.64,56.00392843363758,9,164,6.374197988766901,light_flex
50.4,51.16952217873448,5,138,8.840814442120138,light_flex
73.92,81.1967979664223,3,228,33.59692843103369,light_flex
133.76,135.88200763898067,7,429,23.92033444582245,light_flex
118.9,120.73069203810603,5,319,20.944927786936866,light_flex
90.62,91.62543315040863,10,297,13.5364544840959,light_flex
79.92,80.4999378881748,10,215,9.645392682519464,light_flex
74.24,75.74694713320135,7,223,15.034041372831192,light_flex
50.8,50.947423879917615,12,122,3.872983346207417,light_flex
56.16,56.77252856796146,6,149,8.317114884381482,light_flex
52.7,53.18702849379724,8,141,7.181225522151494,light_flex
46.32,46.99063736533055,7,127,7.910600482896352,light_flex
50.3,50.86944072820145,5,126,7.59012516365837,light_flex
47.5,47.78849233863734,7,123,5.243090691567332,light_flex
55.6,56.13626278975116,8,142,7.740800992145451,light_flex
45.2,45.46515148990488,9,97,4.903060268852505,light_flex
48.94,49.45563668582177,6,123,7.122948827557305,light_flex
52.04,52.77650992629202,3,141,8.78626200383303,light_flex
58.26,58.693611236658455,6,159,7.121263932758004,light_flex
48.48,48.86798543013616,9,132,6.145697682118768,light_flex
61.56,61.98515951419339,7,175,7.247509917206047,light_flex
62.7,63.21566261615866,5,135,8.057915363169311,light_flex
57.78,58.687136580344415,9,155,10.2786964154021,light_flex
44.42,47.37362135197182,1,128,16.46583128785182,light_flex
23.9,23.918611999863202,4,18,0.9433981132056604,light_flex
23.86,23.87006493497661,17,27,0.6931089380465383,light_flex
22.98,22.989997825141263,11,21,0.6779380502671317,light_flex
23.52,23.528705871764387,10,18,0.64,light_flex
23.3,23.307938561786198,16,22,0.6082762530298219,light_flex
25.22,25.26380810566768,9,34,1.4871449156017043,light_flex
25.28,25.32034754895754,7,30,1.42884568795934,light_flex
26.22,26.317674669316816,7,41,2.265303511673436,light_flex
31.12,31.272991542223778,4,48,3.0895954427724033,light_flex
30.3,30.5486497246605,4,55,3.889730067755345,light_flex
24.78,24.803628766775237,11,30,1.0824047302187847,light_flex
33.84,35.4728064860958,2,88,10.63834573606254,light_flex
25.76,25.80232547659222,9,33,1.477294825009551,light_flex
25.02,25.075486037163866,6,30,1.6672132437093943,light_flex
24.76,24.779023386727733,8,27,0.9707728879609278,light_flex
43.1,49.807830709638424,1,143,24.964174330427994,light_flex
88.08,89.07569814489247,8,294,13.281325235081024,light_flex
75.14,77.31067196707062,3,186,18.191217661278202,light_flex
30.34,30.787335058429466,3,41,5.229187317356302,light_flex
26.54,26.65370518333239,7,35,2.459349507491768,light_flex
24.3,24.32488437793693,9,28,1.1,light_flex
24.94,24.960368587022106,7,26,1.0081666528902848,light_flex
24.74,24.751969618598032,12,25,0.7696752561957543,light_flex
25.36,25.38661064419589,6,34,1.162067123706716,light_flex
34.12,36.84073832050601,1,99,13.894804784522883,light_flex
61.74,66.5962461404545,1,223,24.964622969314,light_flex
155.1,160.13225783707665,7,528,39.82875845416224,light_flex
162.42,163.41793047276053,12,432,18.032293254048415,light_flex
159.6,161.75005409581786,6,477,26.285357140430868,light_flex
195.84,196.99847715147445,9,511,21.332941663071225,light_flex
195.5,196.79669712675567,9,570,22.554157044766715,light_flex
129.96,131.9880297602779,8,315,23.04860950252748,light_flex
141.82,144.0701912263602,7,446,25.363509220926034,light_flex
155.82,157.01076396222012,5,343,19.300455953163386,light_flex
151.78,152.63099292083507,11,450,16.095079993588104,light_flex
183.24,184.39034681891567,6,386,20.5645909271252,light_flex
207.58,210.44509972912175,5,563,34.607565646835084,light_flex
161.56,162.43312470059794,9,398,16.81922709282445,light_flex
130.28,131.2716267896456,9,357,16.104707386351357,light_flex
156.24,157.7823817794623,11,496,22.007780442379918,light_flex
145.02,147.2515534722809,9,423,25.538590407459843,light_flex
144.9,147.0853493723967,9,476,25.260443384865596,light_flex
170.14,172.7449565110368,6,527,29.886458472023747,light_flex
149.44,151.06184164109743,5,393,22.07637651427426,light_flex
147.4,150.3825787782614,3,365,29.802013354805414,light_flex
161.1,162.53608830041406,9,507,21.558524995926785,light_flex
170.02,171.8004074500407,9,485,24.669406154182145,light_flex
153.62,157.58483429568977,2,438,35.12656544554278,light_flex
146.76,147.795805082553,11,509,17.467180654015117,light_flex
145.72,147.6330586284793,5,375,23.68969396172099,light_flex
126.24,127.62632957191866,6,356,18.760127931333518,light_flex
147.0,149.06186635085447,9,466,24.70708400439032,light_flex
163.02,165.58786187399124,8,519,29.048573114698765,light_flex
125.2,126.3276691782129,6,314,16.841615124446943,light_flex
141.74,143.60118383913135,5,552,23.045008136253717,light_flex
128.8,129.9555308557508,8,328,17.291616465790582,light_flex
122.08,123.4515289496246,7,383,18.35084739187812,light_flex
144.26,146.4324417606973,7,507,25.129910465419492,light_flex
123.92,126.44761761298629,5,401,25.156184130348546,light_flex
119.46,121.44192027467287,5,388,21.850592669307623,light_flex
35.84,36.912870384189844,1,109,8.834840123058255,hard_flex
32.16,32.824381182285826,1,53,6.570722943481942,hard_flex
28.06,28.32843094843059,5,73,3.8905526599700466,hard_flex
31.02,31.184932259025352,6,53,3.203061035946708,hard_flex
31.84,31.971862629505964,9,56,2.9007585214905425,hard_flex
35.12,35.89707508976184,13,146,7.42870109776938,hard_flex
30.98,31.205448242254107,5,60,3.744275630879757,hard_flex
29.72,30.230448226911886,5,118,5.531871292790533,hard_flex
36.36,37.108489594700565,7,157,7.415551226982388,hard_flex
32.12,32.40617225159429,4,58,4.297161854061352,hard_flex
696.48,760.3615981886513,1,1060,305.0661724937722,hard_flex
858.78,862.7524673972251,1,860,82.69662387304575,hard_flex
111.2,153.78478468301083,1,421,106.22768000855521,hard_flex
33.72,34.027048064738146,6,74,4.560877108627244,hard_flex
321.18,466.27526205021854,2,1808,338.01779183942375,hard_flex
58.14,69.45228577951916,1,172,37.99158327840523,hard_flex
71.8,105.3908914470316,4,1560,77.14920608794364,hard_flex
31.36,31.63036515755074,6,59,4.126790520489258,hard_flex
31.86,32.01218518002168,7,62,3.117755602993923,hard_flex
30.98,31.069277429641005,9,54,2.353635485796388,hard_flex
29.5,29.567211569574837,10,47,1.9924858845171276,hard_flex
27.92,28.016423754647914,6,35,2.3224125387191656,hard_flex
30.06,30.232763684453328,3,57,3.2274448097527553,hard_flex
31.38,31.50841157532382,12,57,2.8417600180170033,hard_flex
225.54,398.4502729325204,1,941,328.47272093737104,hard_flex
933.92,933.9200394038025,6,6,0.2712931993250107,hard_flex
934.0,934.0,0,0,0.0,hard_flex
933.98,933.98001049273,2,2,0.14,hard_flex
933.14,933.1507166583542,11,73,4.472180676135524,hard_flex
933.9,933.9000481850293,8,8,0.3,hard_flex
931.84,931.8677803207921,2,102,7.1954430023453035,hard_flex
933.88,933.8800565383116,9,9,0.3249615361854384,hard_flex
933.68,933.6801165281395,13,13,0.466476151587624,hard_flex
933.6,933.6001285346955,10,10,0.4898979485566357,hard_flex
933.72,933.7201079552694,9,9,0.44899888641287294,hard_flex
927.68,927.8457414893921,4,316,17.53674998396225,hard_flex
892.44,894.6813063879227,7,1014,63.28891214106939,hard_flex
601.66,631.5996675109955,3,1718,192.15458464475938,hard_flex
321.06,325.4717499261649,5,811,53.40726916815725,hard_flex
